timestamp,open,high,low,close,volume
1420485300000,1.1938,1.19401,1.19376,1.19381,432.83
1420485600000,1.19381,1.19382,1.19351,1.1936,368.41
1420485900000,1.19359,1.19381,1.19357,1.19377,182.64
1420486200000,1.19376,1.194,1.19376,1.19386,188.31
1420486500000,1.19386,1.19399,1.19378,1.19387,313.06
1420486800000,1.19385,1.19398,1.19375,1.19396,323.93
1420487100000,1.19396,1.19403,1.19395,1.194,122.46
1420487400000,1.19401,1.19401,1.19396,1.19398,159.53
1420487700000,1.19398,1.19399,1.19381,1.19388,316.73
1420488000000,1.19388,1.19391,1.19375,1.19386,190.22
1420488300000,1.19385,1.19398,1.19371,1.19391,226.5
1420488600000,1.19393,1.19445,1.19393,1.19421,516.69
1420488900000,1.19421,1.19437,1.1941,1.19411,306.39
1420489200000,1.19412,1.19462,1.19412,1.19448,253.31
1420489500000,1.19447,1.19458,1.19422,1.19445,311.95
1420489800000,1.19445,1.19459,1.19433,1.19453,180.36
1420490100000,1.19452,1.19458,1.19446,1.19457,196.36
1420490400000,1.19457,1.1946,1.19429,1.19431,368.42
1420490700000,1.1943,1.19496,1.19429,1.19483,278.9
1420491000000,1.19483,1.1949,1.19436,1.19445,532.92
1420491300000,1.19444,1.19447,1.19367,1.19367,454.73
1420491600000,1.19366,1.19391,1.19364,1.19373,250.03
1420491900000,1.19375,1.19377,1.19341,1.19346,200.38
1420492200000,1.19346,1.19358,1.19337,1.19339,228.51
1420492500000,1.19339,1.19344,1.19327,1.19337,260.84
1420492800000,1.19337,1.19355,1.19331,1.19346,244.02
1420493100000,1.19347,1.19372,1.19346,1.19356,334.75
1420493400000,1.19356,1.19356,1.1934,1.19348,164.44
1420493700000,1.19348,1.1935,1.19341,1.19348,186.64
1420494000000,1.19348,1.19352,1.19345,1.19346,84.98
1420494300000,1.19345,1.19346,1.19332,1.19333,132.94
1420494600000,1.19334,1.19338,1.19326,1.1933,226.51
1420494900000,1.1933,1.19331,1.19323,1.19324,132.26
1420495200000,1.19324,1.19346,1.19313,1.19334,77.7
1420495500000,1.19334,1.19344,1.1931,1.19341,151.13
1420495800000,1.19342,1.19358,1.19307,1.1932,189.84
1420496100000,1.19319,1.19339,1.19314,1.19332,152.58
1420496400000,1.19333,1.19334,1.19329,1.19331,37.33
1420496700000,1.19331,1.19336,1.19331,1.19331,60.58
1420497000000,1.19333,1.19335,1.19292,1.19295,205.25
